imdbid,year,binary,Country,Production,Rated,Genre,Writers F,Writers M,Director
tt0058212,1965,F,USA,MGM Home Entertainment,APPROVED,Comedy,0,1,M
tt0059346,1965,F,Japan,Maron Films Ltd.,G,Action,0,0,M
tt0058946,1966,F,Algeria,Rialto Pictures,NOT RATED,Drama,0,2,M
tt0061184,1966,F,USA,Warner Home Video,NOT RATED,Drama,0,1,M
tt0060665,1966,F,UK,Sony Pictures Home Entertainment,G,Biography,0,2,M
tt0059557,1966,F,USA,Twentieth Century Fox Home Entertainment,UNRATED,Action,0,1,M
tt0060086,1966,F,UK,Paramount Pictures,PG,Comedy,0,0,M
tt0060522,1966,F,USA,20th Century Fox Film Corp.,APPROVED,Comedy,0,2,M
tt0061879,1966,T,Czechoslovakia,N/A,N/A,Drama,0,0,M
tt0060827,1966,T,Sweden,Criterion Collection,NOT RATED,Drama,0,0,M
tt0060453,1966,T,UK,Columbia Pictures,APPROVED,Comedy,2,1,M
tt0060196,1966,F,Italy,United Artists,R,Western,0,4,M
tt0060174,1966,F,Yugoslavia,Avala Film,NOT RATED,Horror,1,1,M
tt0060107,1966,F,Soviet Union,Criterion Collection,NOT RATED,Biography,0,0,M
tt0062851,1966,F,Japan,N/A,UNRATED,Drama,0,0,M
tt0064208,1966,F,Italy,Live Home Video,R,Western,0,1,M
tt0060959,1966,T,Czechoslovakia,Janus Films,N/A,Comedy,0,0,M
tt0061107,1966,T,USA,MCA Universal Home Video,PG,Thriller,0,1,M
tt0060558,1966,F,USA,Unknown,APPROVED,Horror,0,1,M
tt0060424,1966,F,USA,United Artists,APPROVED,Comedy,0,1,M
tt0059020,1966,T,UK,,N/A,Drama,0,1,M
tt0061122,1966,T,USA,Sony Pictures Entertainment,PG,Comedy,1,0,M
tt0060176,1966,F,UK,MGM,NOT RATED,Drama,0,2,M
tt0060479,1966,T,USA,United Artists,APPROVED,Drama,2,1,F
tt0060125,1966,F,Italy,N/A,N/A,Adventure,0,2,M
tt0060934,1966,F,USA,Twentieth Century Fox Home Entertainment,PG-13,Adventure,0,2,M
tt0062852,1966,F,Japan,N/A,NOT RATED,Fantasy,0,0,M
tt0060758,1966,T,Senegal,N/A,NOT RATED,Drama,0,0,M
tt0062853,1966,F,Japan,N/A,N/A,Drama,0,0,M
tt0060782,1966,F,UK,20th Century Fox Film Corporation,NOT RATED,Adventure,0,3,M
tt0060841,1966,T,UK,Warner Bros.,APPROVED,Horror,0,1,M
tt0060223,1966,F,Spain,Trans Lux Inc.,N/A,Drama,0,1,M
tt0060315,1966,F,Italy,Rialto Pictures,NOT RATED,Action,0,5,M
tt0060397,1966,F,USA,20th Century Fox Film Corporation,PG,Adventure,0,3,M
tt0060165,1966,F,USA,WARNER BROTHERS PICTURES,APPROVED,Western,1,1,M
tt0060390,1966,T,UK,Universal Pictures,NOT RATED,Drama,0,1,M
tt0061101,1966,F,Japan,Criterion Collection,NOT RATED,Action,0,0,M
tt0060446,1966,F,Japan,N/A,N/A,Action,0,0,M
tt0059127,1966,F,UK,20th Century Fox Film Corporation,UNRATED,Horror,0,2,M
tt0060464,1966,F,Japan,Sony Pictures Home Entertainment,PG,Action,0,0,M
tt0062512,1967,F,UK,United Artists,PG,Action,0,1,M
tt0061418,1967,T,USA,Warner Brothers/Seven Arts,R,Action,0,2,M
tt0061655,1967,F,USA,WARNER BROTHERS PICTURES,NOT RATED,Comedy,0,1,M
tt0061852,1967,F,USA,Buena Vista Pictures,G,Animation,0,3,M
tt0061578,1967,F,UK,MGM,NOT RATED,Action,0,1,M
tt0061735,1967,T,USA,Columbia Pictures Corporation,NOT RATED,Comedy,0,1,M
tt0061385,1967,T,USA,Paramount Home Video,G,Comedy,0,2,M
tt0061882,1967,F,Japan,Criterion Collection,NOT RATED,Action,0,0,M
tt0062411,1967,T,Japan,Criterion Collection,PG,Horror,0,0,M
tt0061722,1967,F,USA,Embassy Pictures/Rialto Pictures,PG,Comedy,0,1,M
